answer,latitude,longitude
PRE13/ARE8/SUB802,"35.6625840",139.6973305
PRE13/ARE21/SUB2104,35.7799264,"139.7524000"
PRE13/ARE1/SUB113,35.6879692,"139.6988600"
PRE13/ARE17/SUB1703,35.7188829,139.8576828
PRE13/ARE11/SUB1103,35.6967065,139.7601294
PRE09/ARE542/SUB54105,"36.9719600",140.0506627
PRE13/ARE15/SUB1504,"35.6784810",139.7628728
PRE14/ARE38/SUB3801,35.4634333,139.6160441
PRE13/ARE16/SUB1301,35.6239398,139.7331112
PRE06/ARE299/SUB29902,38.7062032,"139.6620100"
PRE10/ARE547/SUB29403,36.6654876,139.0111077
PRE28/ARE107/SUB10701,35.1115725,135.2651748
PRE13/ARE14/SUB1404,"35.6453300",139.7283045
PRE35/ARE429/SUB14903,34.0534709,131.8036859
PRE24/ARE250/SUB40904,"34.8557440",136.4303976
PRE14/ARE38/SUB58703,35.4606613,"139.6201180"
PRE11/ARE50/SUB5006,35.8469266,139.5822688
PRE37/ARE251/SUB43504,34.1113644,133.9763593
PRE14/ARE39/SUB3903,35.4433251,139.6467309
PRE14/ARE579/SUB57902,35.4665624,139.5004483
PRE11/ARE51/SUB5102,35.8694034,139.6455842
PRE42/ARE507/SUB13903,32.7856807,130.3703444
PRE13/ARE662/SUB66201,35.7337918,139.7089995
PRE13/ARE665/SUB2002,35.6129375,139.6779348
PRE13/ARE23/SUB2303,35.6602458,139.7175648
PRE39/ARE147/SUB14702,"33.4955050","133.4274250"
PRE14/ARE31/SUB3202,35.5608326,"139.5916870"
PRE16/ARE307/SUB30702,"36.8571980",136.9855227
PRE13/ARE3/SUB302,35.6159718,139.2572545
PRE12/ARE42/SUB4102,35.7818007,139.9009639
PRE13/ARE312/SUB31204,"35.6286500","139.7869900"
PRE47/ARE144/SUB14406,26.2129052,"127.6724820"
PRE40/ARE128/SUB12804,33.5838265,130.4565869
PRE13/ARE11/SUB1104,35.6955888,139.7573171
PRE05/ARE292/SUB40003,39.1623911,140.4923522
PRE13/ARE2/SUB205,35.6623863,139.7798879
PRE13/ARE22/SUB107,35.6850457,139.6806759
PRE13/ARE23/SUB109,35.6873545,139.7038626
PRE05/ARE292/SUB40001,40.3288265,140.7421438
PRE13/ARE1/SUB105,35.6880172,139.7120096
PRE13/ARE312/SUB31201,"35.6289940",139.7761514
PRE27/ARE88/SUB8804,34.7490959,135.5333422
PRE27/ARE94/SUB9402,34.6769978,135.4950801
PRE19/ARE374/SUB37403,35.6651369,138.7316387
PRE40/ARE136/SUB13601,33.2733462,130.4532466
PRE13/ARE13/SUB704,35.6342755,139.7169003
PRE32/ARE305/SUB30501,36.1022458,133.0799411
PRE15/ARE498/SUB49801,37.6753151,138.9128276
PRE22/ARE334/SUB33402,34.8472079,137.8088633
PRE13/ARE1/SUB106,35.6852975,139.6910857
PRE13/ARE1/SUB101,35.6865031,139.6969937
PRE40/ARE134/SUB65204,33.8657073,"130.7971870"
PRE40/ARE134/SUB13403,33.8323107,130.9251265
PRE01/ARE244/SUB44302,41.7664572,140.7169474
PRE14/ARE31/SUB3102,35.5652366,139.5523784
PRE30/ARE278/SUB27801,34.1589773,135.2011549
PRE13/ARE12/SUB1201,"35.7075930",139.6660992
PRE01/ARE261/SUB44502,42.9818111,141.4839422
PRE01/ARE271/SUB27102,"43.3448580",142.3894984
PRE31/ARE288/SUB39002,35.5050785,133.4874456
PRE42/ARE139/SUB13901,32.7412951,129.8758433
PRE17/ARE226/SUB54904,36.6664911,136.7288766
PRE13/ARE667/SUB2804,35.5414601,139.4483468
PRE20/ARE82/SUB55702,36.6963392,"138.3164200"
PRE27/ARE92/SUB62105,34.7077775,135.5115833
PRE32/ARE151/SUB56302,35.2950007,"132.8829340"
PRE12/ARE45/SUB4504,"35.6519590",140.0653648
PRE13/ARE12/SUB1208,35.7232157,139.6439529
PRE22/ARE326/SUB32602,35.1098338,138.9033198
PRE23/ARE72/SUB60404,35.0589652,137.0144602
PRE14/ARE577/SUB57702,35.4889466,139.6246842
PRE01/ARE291/SUB45004,43.8282297,144.1048672
PRE23/ARE72/SUB60405,35.2269165,137.1026448
PRE14/ARE29/SUB57304,35.3466351,139.1394102
PRE14/ARE39/SUB3904,35.4456438,139.6280661
PRE13/ARE14/SUB1402,35.6602141,139.7194048
PRE26/ARE114/SUB11401,35.0169134,135.6769934
PRE41/ARE504/SUB14003,33.1921327,129.9585307
PRE16/ARE156/SUB15601,36.6771908,137.2072157
PRE28/ARE102/SUB9901,"34.6808000",135.1780285
PRE24/ARE80/SUB8002,34.5773195,136.5311035
PRE47/ARE144/SUB14401,26.2046642,127.7100356
PRE26/ARE116/SUB11603,"35.1254610","135.7640140"
PRE14/ARE28/SUB57102,"35.5371940",139.3280876
PRE28/ARE103/SUB10302,34.7351219,135.3137445
PRE14/ARE35/SUB3503,35.5095988,139.6323574
PRE26/ARE115/SUB47602,35.0252826,135.7423113
PRE26/ARE657/SUB10901,35.0042655,135.7573009
PRE14/ARE33/SUB3301,35.4712328,139.5761342
PRE22/ARE320/SUB7605,34.8756201,139.1049644
PRE34/ARE152/SUB56606,34.3894821,"132.4652470"
PRE30/ARE420/SUB28301,"33.7182940",135.4715871
PRE39/ARE147/SUB39302,33.5345674,133.6490456
PRE23/ARE63/SUB6305,35.1679424,136.8970601
PRE13/ARE1/SUB102,35.6851272,139.7007111
PRE13/ARE1/SUB112,"35.6950570",139.6968551
PRE40/ARE129/SUB12901,"33.5619440","130.4245590"
PRE15/ARE500/SUB50004,36.9968281,138.8191079
PRE40/ARE124/SUB64002,"33.5938900",130.3919335
PRE23/ARE69/SUB6902,35.1891179,136.9127472
PRE15/ARE228/SUB22801,37.1562457,138.2544622
PRE29/ARE386/SUB38609,34.5647228,135.7462626
PRE09/ARE542/SUB26903,37.0688852,140.0000554
PRE14/ARE33/SUB57802,35.4557812,139.5825558
PRE12/ARE453/SUB4202,"35.7648340","139.9985750"
PRE02/ARE243/SUB34605,40.5092071,141.4909331
PRE01/ARE265/SUB26501,42.7453701,143.0840538
PRE15/ARE496/SUB49602,38.2206902,139.4642533
PRE13/ARE667/SUB2503,"35.6295200",139.4013682
PRE14/ARE39/SUB58805,35.4208415,139.6577635
PRE22/ARE328/SUB32803,35.2367443,138.5960762
PRE17/ARE155/SUB15501,36.5614418,136.6516942
PRE11/ARE50/SUB49008,35.7988342,139.5565236
PRE21/ARE380/SUB38004,35.3664525,136.5269781
