answer,latitude,longitude,category,dinner_from,dinner_to
PRE13/ARE11/SUB1103,35.6991495,139.758853,ラーメン・麺類,17:00:00,22:00:00
PRE13/ARE7/SUB703,35.6392045,139.7045201,イタリアン,18:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6564145,139.7341025,すし・魚料理,17:00:00,23:00:00
PRE13/ARE19/SUB1902,35.5875477,139.7325523,焼肉,17:00:00,23:00:00
PRE12/ARE41/SUB4101,35.8595526,139.9745804,中華,16:00:00,20:00:00
PRE13/ARE14/SUB1405,35.6567927,139.7337509,居酒屋・バー,17:30:00,23:30:00
PRE12/ARE41/SUB4101,35.8588749,139.9751118,洋食・西洋料理,17:00:00,6:00:00
PRE13/ARE13/SUB704,35.6318624,139.7112665,アジア・エスニック,17:00:00,22:00:00
PRE13/ARE18/SUB1801,35.6681156,139.7410056,ビュッフェ・バイキング,18:00:00,21:30:00
PRE14/ARE30/SUB3002,35.2468656,139.0474157,中華,17:00:00,0:00:00
PRE13/ARE14/SUB1405,35.6552129,139.7359542,すし・魚料理,17:30:00,22:00:00
PRE13/ARE14/SUB1405,35.6567705,139.7358923,中華,18:00:00,23:00:00
PRE13/ARE26/SUB2602,35.7373261,139.6712503,中華,18:00:00,23:45:00
PRE13/ARE14/SUB1405,35.6559262,139.7358396,焼肉,19:00:00,24:00:00
PRE13/ARE23/SUB109,35.6801223,139.7041527,フレンチ,18:00:00,23:00:00
PRE13/ARE2/SUB201,35.6680094,139.7630816,焼肉,17:00:00,24:00:00
PRE13/ARE665/SUB2002,35.6288253,139.6890373,焼肉,18:00:00,23:00:00
PRE13/ARE14/SUB1405,35.6571773,139.7372348,中華,11:30:00,21:00:00
PRE13/ARE2/SUB204,35.6650001,139.7705589,すし・魚料理,17:30:00,22:00:00
PRE13/ARE7/SUB701,35.6486912,139.7086884,居酒屋・バー,18:00:00,29:00:00
PRE13/ARE14/SUB1405,35.6556056,139.7356689,アジア・エスニック,16:30:00,23:00:00
PRE13/ARE24/SUB2402,35.7766316,139.6317577,ラーメン・麺類,17:00:00,20:30:00
PRE13/ARE15/SUB1501,35.6786051,139.7703696,焼鳥・串料理,17:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6576863,139.7275643,焼鳥・串料理,18:00:00,22:00:00
PRE14/ARE36/SUB3601,35.4017202,139.5954637,ラーメン・麺類,17:00:00,21:30:00
PRE13/ARE14/SUB1405,35.6550438,139.7384036,和食・日本料理,18:00:00,0:00:00
PRE28/ARE106/SUB10601,34.5888489,135.0173781,すし・魚料理,16:30:00,20:00:00
PRE13/ARE14/SUB1405,35.6547819,139.7350036,イタリアン,18:00:00,24:00:00
PRE13/ARE14/SUB1405,35.6472295,139.736612,中華,19:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6564374,139.7401447,フレンチ,18:30:00,21:00:00
PRE13/ARE661/SUB103,35.7122859,139.7050184,居酒屋・バー,18:00:00,5:00:00
PRE13/ARE14/SUB1405,35.6513788,139.7231532,和食・日本料理,18:00:00,22:00:00
PRE04/ARE535/SUB27203,38.9122822,141.5430987,ラーメン・麺類,19:00:00,21:00:00
PRE13/ARE14/SUB1405,35.6605741,139.7391402,イタリアン,18:00:00,23:00:00
PRE27/ARE94/SUB9502,34.6687817,135.4988853,焼肉,17:00:00,23:00:00
PRE13/ARE14/SUB1405,35.6518821,139.7299597,和食・日本料理,18:00:00,23:00:00
PRE35/ARE229/SUB22901,33.96601,130.957497,すし・魚料理,17:00:00,21:30:00
PRE13/ARE14/SUB1405,35.6607507,139.7369421,焼肉,19:00:00,24:00:00
PRE13/ARE14/SUB1405,35.6566322,139.7347399,アジア・エスニック,17:00:00,23:30:00
PRE13/ARE17/SUB1701,35.6989217,139.8097767,丼もの・揚げ物,18:00:00,20:30:00
PRE13/ARE14/SUB1405,35.657312,139.73261,焼鳥・串料理,18:00:00,23:00:00
PRE13/ARE14/SUB1405,35.655356,139.726504,フレンチ,18:00:00,24:00:00
PRE12/ARE46/SUB4601,35.5252253,140.0891054,ラーメン・麺類,17:00:00,21:00:00
PRE13/ARE14/SUB1405,35.6553707,139.7346925,イタリアン,18:00:00,22:30:00
PRE14/ARE34/SUB31301,35.336476,139.488228,イタリアン,17:00:00,22:30:00
PRE13/ARE14/SUB1405,35.655043,139.7367034,中華,17:00:00,23:30:00
PRE13/ARE662/SUB66202,35.7310456,139.7160179,居酒屋・バー,17:00:00,28:30:00
PRE28/ARE103/SUB10302,34.731025,135.3126759,ラーメン・麺類,0:00:00,0:00:00
PRE13/ARE2/SUB201,35.671386,139.7657206,中華,17:00:00,23:00:00
PRE13/ARE16/SUB1602,35.6593042,139.7558377,イタリアン,18:00:00,23:00:00
PRE13/ARE12/SUB1204,35.7005118,139.6475172,ラーメン・麺類,17:30:00,21:30:00
PRE13/ARE2/SUB201,35.6704855,139.762771,カフェ・スイーツ,17:00:00,23:30:00
PRE13/ARE23/SUB2303,35.667425,139.718777,和食・日本料理,17:30:00,22:00:00
PRE27/ARE90/SUB9001,34.695402,135.5291559,イタリアン,17:00:00,22:30:00
PRE13/ARE8/SUB806,35.6571802,139.6955243,居酒屋・バー,17:00:00,26:00:00
PRE13/ARE14/SUB1405,35.6561608,139.7442082,中華,17:00:00,24:00:00
PRE18/ARE556/SUB15401,36.0635281,136.2470815,イタリアン,17:00:00,23:00:00
PRE08/ARE369/SUB5705,36.1959317,139.7075741,中華,16:00:00,21:00:00
PRE28/ARE103/SUB10301,34.7498307,135.3272694,イタリアン,18:00:00,23:00:00
PRE13/ARE7/SUB702,35.6504097,139.6965947,フレンチ,18:00:00,23:00:00
PRE13/ARE14/SUB1401,35.6581425,139.732102,ラーメン・麺類,17:00:00,23:00:00
PRE13/ARE14/SUB1405,35.653401,139.735214,すし・魚料理,17:00:00,22:30:00
PRE13/ARE21/SUB2102,35.7485415,139.8270636,ラーメン・麺類,17:00:00,24:40:00
PRE27/ARE86/SUB8604,34.6780795,135.5656323,居酒屋・バー,18:00:00,20:00:00
PRE13/ARE14/SUB1405,35.656759,139.734067,焼肉,18:30:00,23:30:00
PRE04/ARE536/SUB53601,38.6156843,140.9829301,郷土料理,17:00:00,22:20:00
PRE11/ARE52/SUB5202,35.827506,139.693701,その他,18:00:00,22:00:00
PRE14/ARE31/SUB3102,35.582038,139.5512877,フレンチ,17:30:00,25:00:00
PRE13/ARE8/SUB802,35.6621521,139.6977817,居酒屋・バー,17:30:00,20:00:00
PRE13/ARE14/SUB1405,35.6575109,139.7324641,焼肉,18:30:00,24:00:00
PRE13/ARE14/SUB1405,35.6540209,139.7353202,和食・日本料理,17:30:00,23:00:00
PRE45/ARE141/SUB14101,31.8795614,131.4113429,洋食・西洋料理,17:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6533236,139.735855,その他,17:30:00,19:30:00
PRE39/ARE147/SUB14701,33.559241,133.536524,イタリアン,17:30:00,21:30:00
PRE13/ARE10/SUB1001,35.6839796,139.783581,イタリアン,17:30:00,22:30:00
PRE13/ARE14/SUB1405,35.65162,139.740615,フレンチ,17:00:00,21:00:00
PRE34/ARE152/SUB56604,34.394381,132.4444361,フレンチ,17:00:00,23:00:00
PRE25/ARE266/SUB26601,35.2711296,136.251395,焼鳥・串料理,17:30:00,22:00:00
PRE27/ARE89/SUB8902,34.6974456,135.4994235,和食・日本料理,17:30:00,22:30:00
PRE23/ARE63/SUB6304,35.1626932,136.9145774,洋食・西洋料理,17:30:00,29:00:00
PRE13/ARE14/SUB1405,35.6572723,139.7416896,珍しい各国料理,18:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6559264,139.7423025,洋食・西洋料理,18:00:00,21:00:00
PRE27/ARE93/SUB62204,34.6601357,135.4495426,すし・魚料理,17:00:00,23:00:00
PRE13/ARE25/SUB2502,35.6553395,139.5676662,ラーメン・麺類,18:00:00,23:00:00
PRE13/ARE24/SUB2401,35.7487509,139.703697,居酒屋・バー,17:00:00,26:00:00
PRE17/ARE260/SUB26001,36.4046238,136.4498626,焼肉,17:00:00,26:00:00
PRE26/ARE116/SUB11504,35.0297269,135.7764526,お好み焼・粉物,17:00:00,22:30:00
PRE27/ARE90/SUB9001,34.6981763,135.5285026,居酒屋・バー,17:00:00,20:00:00
PRE13/ARE14/SUB1405,35.6550515,139.7358316,丼もの・揚げ物,17:30:00,23:30:00
PRE14/ARE37/SUB3701,35.5280928,139.6979686,しゃぶしゃぶ・すき焼き,17:00:00,23:00:00
PRE13/ARE16/SUB1301,35.6229241,139.7496379,居酒屋・バー,17:00:00,23:00:00
PRE13/ARE7/SUB701,35.646708,139.7152899,イタリアン,18:00:00,23:00:00
PRE13/ARE664/SUB2201,35.6620041,139.6722535,ラーメン・麺類,0:00:00,0:00:00
PRE11/ARE51/SUB5103,35.843976,139.647954,和食・日本料理,17:00:00,23:00:00
PRE13/ARE11/SUB1102,35.7036575,139.7729738,すし・魚料理,17:00:00,21:00:00
PRE34/ARE152/SUB56604,34.3931042,132.4319887,焼肉,17:00:00,21:00:00
PRE13/ARE14/SUB1405,35.656598,139.7436376,焼鳥・串料理,17:00:00,23:30:00
PRE14/ARE37/SUB3502,35.5839729,139.6305978,焼肉,17:00:00,28:00:00
PRE41/ARE140/SUB14001,33.273461,130.2901473,すし・魚料理,17:00:00,22:00:00
PRE01/ARE164/SUB44002,43.1051866,141.3475297,アジア・エスニック,17:00:00,22:00:00
PRE13/ARE11/SUB1103,35.6955307,139.7647833,和食・日本料理,17:45:00,22:30:00
PRE13/ARE11/SUB1102,35.6993567,139.7770907,居酒屋・バー,17:30:00,23:00:00
PRE13/ARE6/SUB601,35.717239,139.73807,フレンチ,18:00:00,22:00:00
PRE13/ARE2/SUB204,35.6693462,139.7734171,和食・日本料理,17:30:00,22:00:00
PRE14/ARE37/SUB3502,35.5587778,139.6515623,すし・魚料理,17:00:00,22:00:00
PRE13/ARE10/SUB1002,35.6791409,139.7789879,居酒屋・バー,17:00:00,23:30:00
PRE13/ARE10/SUB1001,35.6883788,139.7864991,イタリアン,18:00:00,23:30:00
PRE13/ARE14/SUB1405,35.6567594,139.7340675,焼肉,18:30:00,23:00:00
PRE13/ARE14/SUB1405,35.654317,139.7346407,お好み焼・粉物,19:00:00,3:00:00
PRE13/ARE2/SUB1601,35.665058,139.7579166,郷土料理,17:00:00,23:30:00
PRE13/ARE14/SUB1405,35.6610865,139.7387456,和食・日本料理,17:30:00,22:00:00
PRE13/ARE6/SUB604,35.7007862,139.7409994,イタリアン,18:00:00,23:00:00
PRE13/ARE14/SUB1405,35.6486382,139.7364925,中華,17:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6606035,139.7389003,中華,17:30:00,23:00:00
PRE13/ARE14/SUB1405,35.6563736,139.7430639,中華,17:00:00,22:00:00
PRE13/ARE14/SUB1405,35.6509366,139.7442696,イタリアン,17:30:00,21:00:00
PRE13/ARE14/SUB1405,35.6555874,139.7357257,焼肉,18:30:00,20:00:00
PRE13/ARE14/SUB1405,35.6559186,139.7354401,アジア・エスニック,17:00:00,20:00:00
PRE13/ARE6/SUB604,35.7009237,139.7400708,イタリアン,18:00:00,23:00:00
PRE13/ARE661/SUB108,35.6985478,139.7006328,アジア・エスニック,15:10:00,23:30:00
PRE34/ARE152/SUB56606,34.3943411,132.4711521,ラーメン・麺類,17:00:00,22:00:00
PRE13/ARE9/SUB901,35.721004,139.763898,ラーメン・麺類,17:00:00,22:30:00
